Method,Degradation,Mean IoU,Std IoU,Mean Improvement,p-value,Significant
DeBCR,noise_50,0.277243,0.122884,-0.001578,0.000688,True
DeBCR,combined_mild,0.251107,0.104512,-0.006795,1.2e-05,True
PI-DDPM,noise_50,0.278238,0.122047,-0.000583,0.13025,False
PI-DDPM,combined_mild,0.255731,0.104504,-0.00217,0.009217,True
N2V,noise_50,0.276622,0.122056,-0.002199,0.000941,True
N2V,combined_mild,0.253813,0.10567,-0.004089,0.000623,True
DoG,noise_50,0.280953,0.124455,0.002132,0.000824,True
DoG,combined_mild,0.280139,0.130252,0.022238,0.000114,True
DeBCR+DoG,noise_50,0.281927,0.124094,0.003106,2.2e-05,True
DeBCR+DoG,combined_mild,0.304427,0.107033,0.046526,1e-06,True
