,precision,recall,f1-score,support
A172,0.6470588235294118,0.8201754385964912,0.723404255319149,456.0
BT474,0.7630331753554502,0.6388888888888888,0.6954643628509719,504.0
BV2,0.9676724137931034,0.9846491228070176,0.9760869565217392,456.0
Huh7,0.7897574123989218,0.7325,0.7600518806744487,400.0
MCF7,0.8256029684601113,0.8076225045372051,0.8165137614678899,551.0
SHSY5Y,0.9242144177449169,0.946969696969697,0.9354536950420954,528.0
SKOV3,0.6497695852534562,0.46381578947368424,0.5412667946257198,304.0
SkBr3,0.8773109243697479,0.9886363636363636,0.9296527159394479,528.0
accuracy,0.8172793131204722,0.8172793131204722,0.8172793131204722,0.8172793131204722
macro avg,0.8055524651131398,0.7979072256136684,0.7972368028051827,3727.0
weighted avg,0.8157852695822103,0.8172793131204722,0.812643723337643,3727.0
