cell_line,quality_level,iou_fixed,iou_adaptive,improvement
MCF7,low_quality,0.12947237519985788,0.13093894416948385,0.0014665689696259643
MCF7,low_quality,0.17027340142411376,0.17291162343375172,0.0026382220096379527
MCF7,low_quality,0.17847519416706292,0.18115763816019587,0.0026824439931329436
MCF7,heavy_noise,0.21531295360299163,0.2137421071486194,-0.0015708464543722211
MCF7,heavy_noise,0.17563736278758219,0.17776987762357285,0.0021325148359906676
MCF7,heavy_noise,0.24565155559445148,0.24819505202135023,0.0025434964268987448
MCF7,heavy_noise,0.21535360827843456,0.2151274944112601,-0.00022611386717444337
MCF7,heavy_noise,0.2397526637057781,0.2407323293128735,0.0009796656070953924
MCF7,heavy_noise,0.3322035290413547,0.33155656163159714,-0.0006469674097575595
MCF7,heavy_noise,0.3688335511934708,0.3777789997525501,0.008945448559079305
SHSY5Y,heavy_noise,0.2589345478289616,0.06685491646825006,-0.19207963136071152
SHSY5Y,heavy_noise,0.28600665061847474,0.2824488189621953,-0.003557831656279431
SHSY5Y,heavy_noise,0.32535967536992255,0.3219178269364778,-0.0034418484334447497
SHSY5Y,heavy_noise,0.34465093137817726,0.3416704264249484,-0.0029805049532288796
SHSY5Y,heavy_noise,0.424018127301104,0.420707621570348,-0.003310505730755975
SHSY5Y,heavy_noise,0.4791673497939688,0.4768466013898871,-0.002320748404081696
SHSY5Y,heavy_noise,0.5322611070558613,0.5323941659329421,0.0001330588770808161
SHSY5Y,heavy_noise,0.6401581602260369,0.640801401441342,0.0006432412153051237
SHSY5Y,heavy_noise,0.5880676617567904,0.5833781904327321,-0.004689471324058281
SHSY5Y,heavy_noise,0.7428582360191412,0.7395608690779781,-0.0032973669411631157
BV2,heavy_noise,0.21066375174591606,0.23916211293260473,0.028498361186688664
BV2,heavy_noise,0.2537806048967835,0.29177177177177177,0.03799116687498827
BV2,heavy_noise,0.0375096875607612,0.26664536060509214,0.22913567304433094
BV2,low_quality,0.04500270257663931,0.04593568839089349,0.0009329858142541753
BV2,low_quality,0.053696972694079734,0.054350661296123925,0.0006536886020441918
BV2,low_quality,0.07228481521009605,0.07341358177371039,0.001128766563614339
BV2,low_quality,0.10191808032835911,0.10315945891113268,0.0012413785827735668
BV2,heavy_noise,0.18271792398013442,0.29309915431343464,0.11038123033330022
BV2,low_quality,0.25976624951761396,0.2661176036785202,0.006351354160906264
BV2,low_quality,0.36132228229546887,0.3811912655141237,0.019868983218654823
SkBr3,low_quality,0.14543559554323948,0.1473102075088274,0.0018746119655879134
SkBr3,low_quality,0.1558956063047707,0.16088530812945429,0.0049897018246835845
SkBr3,heavy_noise,0.15687148576804427,0.15102339101255222,-0.005848094755492056
SkBr3,low_quality,0.17185064455613955,0.17577757606246855,0.003926931506329001
SkBr3,low_quality,0.22419705781731097,0.23060045304822666,0.006403395230915682
SkBr3,heavy_noise,0.22420011794231798,0.21702536277741397,-0.007174755164904012
SkBr3,heavy_noise,0.2705571016933398,0.25977543583177387,-0.010781665861565926
SkBr3,heavy_noise,0.29917992455305886,0.2882458808341174,-0.010934043718941466
SkBr3,heavy_noise,0.3528581548838494,0.3400320420654808,-0.012826112818368596
SkBr3,low_quality,0.3410234727136887,0.3475478810858426,0.0065244083721539
